key,en,fr
PLAY,Play,Jouer
CREDITS,Credits,Crédits
QUIT,Quit,Quitter
MENU_CONTROLS,"[center][img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_w_small.png[/img] [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_e_small.png[/img] to pick an option, [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_n_small.png[/img] to confirm",[center]Choisissez une option avec [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_w_small.png[/img] [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_e_small.png[/img] et confirmez avec [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_n_small.png[/img]
MAIN_MENU,Main Menu,Menu Principal
HAPPY_KIDS,Happy Kids:,Enfants Heureux :
LOAD_SHOT_NAME,Big Present,Gros Cadeau
LOAD_SHOT_DESC,"[color=yellow]Hold[/color] the button to prepare a bigger, faster present for [color=yellow]more kids[/color]",[color=yellow]Maintenez[/color] le bouton pour préparer un gros cadeau pour [color=yellow]plus d’enfants[/color]
FRAG_NAME,Multi-Present,Multi-Cadeau
FRAG_DESC,Presents will create [color=yellow]more presents[/color] when hitting the ground,Les cadeaux se séparent en [color=yellow]plusieurs cadeaux[/color] quand ils touchent le sol
DASH_NAME,Sugar Burst,Turbosucre
DASH_DESC,Send a present to the [color=yellow]left[/color] with [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_w_small.png[/img] to [color=yellow]dash[/color] forward,Envoyez un cadeau à [color=yellow]gauche[/color] avec [img]res://assets/sprites/Kenney/Grey/Default/arrow_decorative_w_small.png[/img] pour vous [color=yellow]propulser[/color] en avant
FAST_PRESENTS_NAME,Weighted Presents,Cadeaux Lestés
FAST_PRESENTS_DESC,Add some weight into your presents to make them reach the ground [color=yellow]faster[/color],Ajoute un peu de poids aux cadeaux pour qu’ils atteignent le sol [color=yellow]plus vite[/color]
SPEED_HIGH_NAME,Winged Cane,Sucre Ailé
SPEED_HIGH_DESC,Increases speed in [color=yellow]high[/color] orbit,Augmente la vitesse en [color=yellow]haute[/color] orbite
SPEED_LOW_NAME,Surface Boosters,Propulseurs de Surface
